,Unnamed: 0,id,poster_path,adult,overview,release_date,genre_ids,original_title,original_language,title,backdrop_path,popularity,vote_count,video,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,count_labels,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
0,9,1011679,/v5CfpzxoJDkZxjZAizClFdlEF0U.jpg,False,"Hace décadas, la URSS desarrolló tiburones imposibles de matar y los lanzó a la luna. Hoy, un equipo de astronautas estadounidenses enfrentará la lucha de sus vidas.",2022-08-12,28-878-53-27,Shark Side of the Moon,en,Shark Side of the Moon,/AsEgGeccI32SwMBkxpwhOkhbzmF.jpg,456.059,117,False,5.3,movie,10000,88,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['28', '878', '53', '27']",1,3,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
1,10,884184,/yQTRmPzKAdLodknnPVtImm6FWPZ.jpg,False,"Después del presunto suicidio de su hermano sacerdote, Grace viaja al remoto convento escocés donde cayó y murió. Desconfiando del relato de la Iglesia, descubre un asesinato, un sacrilegio y una inquietante verdad sobre sí misma.",2023-02-10,27-53,Consecration,en,Consecration,/sRfX2XPjyL7nRKVRKXVG6D0bVQI.jpg,451.66,29,False,6.6,movie,0,90,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,11,988165,/5KmscR49WkmuPJKjmK4OUmsRn5C.jpg,False,"Decidido a demostrar la posibilidad de dimensiones alternativas, un estudiante de posgrado sin saberlo abre una puerta de entrada a un horror inimaginable. Basado en el cuento de H. P. Lovecraft ""Los sueños en la casa de la bruja"".",2022-06-29,27,H.P. Lovecraft's Witch House,en,HP La casa de la bruja de Lovecraft,/7cjY1IIrW1RwmHN8USPryKTAQHq.jpg,406.61,12,False,5.8,movie,0,82,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,12,829410,/nBgxSimgLMGYCQckRQw7C2f7row.jpg,False,"Durante la pandemia, Parker y su mejor amigo deciden realizar la cuarentena en la casa familiar del lago donde estarán aislados del mundo… o al menos eso es lo que piensan.",2022-09-24,27-53,Sick,en,Sick,/ve3RLbCSuUKA02OZJ5F0fMmXVMn.jpg,358.328,126,False,6.3,movie,0,83,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,13,676547,/hbtJK32km46jTmlvBXgR8SunfAp.jpg,False,"Una joven monja, la hermana Ann (Jacqueline Byers), se prepara para un exorcismo y se enfrenta a una fuerza demoniaca que está misteriosamente relacionada con su pasado.",2022-10-28,27-53,Prey for the Devil,en,Reza por el diablo,/94kQGMiFbs5MUTlt7kj9dewsMDi.jpg,357.88,612,False,7.1,movie,0,93,37655699,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5,14,934433,/dvvfHkEinSUWUPtJeWvxOx5hozm.jpg,False,"Tras los últimos asesinatos de Ghostface, los cuatro supervivientes abandonan Woodsboro para dar comienzo a un nuevo capítulo.",2023-03-10,27-9648-53,Scream VI,en,Scream VI,/44immBwzhDVyjn87b3x3l9mlhAD.jpg,378.88,536,False,7.4,movie,35000000,123,161000000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
6,15,663712,/yw8NQyvbeNXoZO6v4SEXrgQ27Ll.jpg,False,"Después de ser resucitado por una entidad siniestra, Art the Clown regresa al condado de Miles, donde debe cazar y destruir a una adolescente y a su hermano menor en la noche de Halloween.",2022-10-06,27,Terrifier 2,en,Terrifier 2,/cRdA9xjHBbobw4LJFsQ3j1CgpVq.jpg,297.682,1143,False,6.9,movie,250000,138,12400000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7,16,772515,/aVw74MES2R0kdSN8JhbJC8Xpne9.jpg,False,"Cuenta la historia de Valeria, una mujer que lleva tiempo intentando tener un hijo. De repente, la misma noche en la que por fin se confirma su embarazo le visita una extraña presencia. A partir de ese momento, la monstruosa criatura la persigue manteniendo en peligro su embarazo, su pareja y la vida de su futuro bebé.",2023-02-10,18-27-9648,Huesera,es,Huesera,/A2avUoNFstnBhAnHiogXQs4c9Bt.jpg,284.067,187,False,5.8,movie,0,93,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['18', '27', '9648']",0,36,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
8,17,988233,/xFJHb43ZAnnuiDztxZYsmyopweb.jpg,False,"Tras una misteriosa desaparición en un salto, un grupo de paracaidistas experimenta sucesos paranormales que les obligan a luchar por sus vidas.",2022-11-01,28-27-53,Hex,en,Hex,/90ZZIoWQLLEXSVm0ik3eEQBinul.jpg,265.046,62,False,6.1,movie,0,88,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['28', '27', '53']",1,62,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
9,18,646385,/1L5u2cdXfyMOFhiLYT0UBsjqZmC.jpg,False,Una nueva entrega de la saga de terror 'Scream' que seguirá a una mujer que regresa a su ciudad natal para intentar descubrir quién ha estado cometiendo una serie de crímenes atroces.,2022-01-14,27-9648-53,Scream,en,Scream V,/ifUfE79O1raUwbaQRIB7XnFz5ZC.jpg,262.835,2317,False,6.7,movie,24000000,114,140041405,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
