,Unnamed: 0,id,adult,release_date,genre_ids,original_title,original_language,title,popularity,vote_count,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
0,0,758323,False,2023-04-14,27-53,The Pope's Exorcist,en,El exorcista del papa,1630.483,90,6.7,movie,18000000,103,36000000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,980078,False,2023-02-15,27-53,Winnie the Pooh: Blood and Honey,en,Winnie the Pooh: Blood and Honey,996.295,464,5.8,movie,100000,84,3200000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,2,1084225,False,2023-03-02,28-18-27-878-53,The Park,en,The Park,923.037,30,5.8,movie,0,80,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['28', '18', '27', '878', '53']",1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
3,3,984105,False,2023-01-10,27,The Mummy Resurrection,en,The Mummy Resurrection,703.369,6,6.2,movie,0,85,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,4,631842,False,2023-02-03,27-9648-53,Knock at the Cabin,en,Llaman a la puerta,687.168,1283,6.4,movie,20000000,100,52000000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5,5,296271,False,2023-01-13,27-53,The Devil Conspiracy,en,The Devil Conspiracy,652.736,119,6.4,movie,0,111,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6,6,713704,False,2023-04-21,27-53-14,Evil Dead Rise,en,Posesión infernal: El despertar,701.624,20,7.7,movie,0,96,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53', '14']",1,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
7,7,536554,False,2023-01-06,878-27-35,M3GAN,en,M3GAN,590.481,2370,7.4,movie,12000000,102,167643991,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['878', '27', '35']",0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
8,8,1003579,False,2023-03-28,16-14-27-28-9648,Batman: The Doom That Came to Gotham,en,Batman: The Doom That Came to Gotham,590.972,70,6.4,movie,0,86,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['16', '14', '27', '28', '9648']",0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
9,9,1011679,False,2022-08-12,28-878-53-27,Shark Side of the Moon,en,Shark Side of the Moon,456.059,117,5.3,movie,10000,88,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['28', '878', '53', '27']",1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
10,10,884184,False,2023-02-10,27-53,Consecration,en,Consecration,451.66,29,6.6,movie,0,90,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11,11,988165,False,2022-06-29,27,H.P. Lovecraft's Witch House,en,HP La casa de la bruja de Lovecraft,406.61,12,5.8,movie,0,82,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
