,,0
Música,Música,1.0
Suspense,Misterio,0.20752854463834625
Acción,Aventura,0.1837151480605924
Ciencia ficción,Acción,0.1771930877462828
Fantasía,Familia,0.1294663948631953
Animación,Familia,0.11892897041765346
Suspense,Drama,0.1179882500160046
Suspense,Crimen,0.07946662139817944
Crimen,Drama,0.07043376574442378
Ciencia ficción,Película de TV,0.06663315049074998
Drama,Misterio,0.06598004742463714
Fantasía,Romance,0.06397135042218428
Animación,Fantasía,0.060591112184019774
Música,Comedia,0.059836893541447875
Drama,Romance,0.057236048421131995
Ciencia ficción,Aventura,0.056488307668773
Aventura,Fantasía,0.04697982846298563
Romance,Comedia,0.0433366215366858
Western,Acción,0.03921620378818174
Acción,Fantasía,0.03707366049027266
Misterio,Crimen,0.03643055870771873
Comedia,Animación,0.028974835054004857
Drama,Historia,0.025182976583292983
Ciencia ficción,Animación,0.023462669840289944
Acción,Animación,0.02069546834244307
Película de TV,Fantasía,0.019771063819473172
Drama,Bélica,0.017946777363587674
Drama,Fantasía,0.012804198885169133
Comedia,Familia,0.01258257146460636
Acción,Película de TV,0.006739553296952348
Película de TV,Aventura,0.005378797667859204
Fantasía,Comedia,0.004006826464011678
Bélica,Ciencia ficción,0.0033978325725037913
Música,Fantasía,0.0008966033429890811
Familia,Historia,-0.0009091870067560846
Bélica,Familia,-0.0010759299108515235
Comedia,Acción,-0.0011334354551442178
Comedia,Aventura,-0.001336522649784015
Historia,Música,-0.0015764551579957808
Western,Historia,-0.0016500716383391445
Bélica,Música,-0.0018655735783725945
Familia,Música,-0.0018655735783725956
Familia,Western,-0.0019526911598431462
Bélica,Western,-0.0019526911598431518
Historia,Animación,-0.0021513307558004477
Crimen,Documental,-0.0024045861319663374
Bélica,Animación,-0.002545880100683729
Historia,Documental,-0.0030516467237881864
Historia,Romance,-0.0030910031513106772
Música,Western,-0.003385805151231482
Documental,Familia,-0.0036113120437021523
Documental,Bélica,-0.0036113120437021536
Historia,Aventura,-0.003633003545546192
Bélica,Romance,-0.0036578863537627283
Familia,Romance,-0.0036578863537627426
Historia,Película de TV,-0.0040931965612057575
Aventura,Familia,-0.0042992884322327835
Aventura,Bélica,-0.004299288432232807
Acción,Suspense,-0.004317798355825632
Música,Animación,-0.004414345768843998
Animación,Western,-0.0046204845840666815
Historia,Crimen,-0.004817821084350974
Película de TV,Familia,-0.004843879838218317
Película de TV,Bélica,-0.004843879838218319
Familia,Crimen,-0.005701398910526832
Crimen,Bélica,-0.005701398910526867
Historia,Fantasía,-0.005972764061642954
Documental,Música,-0.006261716738274775
Música,Romance,-0.006342472744222417
Bélica,Suspense,-0.006382095243619687
Western,Documental,-0.006554123119034098
Romance,Western,-0.0066386502268074715
Fantasía,Bélica,-0.0070681558982119575
Música,Aventura,-0.00745461095939669
Western,Aventura,-0.007802722492018752
Historia,Acción,-0.00823277248888577
Música,Película de TV,-0.008398887466414956
Documental,Animación,-0.008545136050864495
Animación,Romance,-0.00865534082163108
Película de TV,Western,-0.00879109433062008
Película de TV,Drama,-0.008953376687769422
Familia,Acción,-0.00974264491705839
Acción,Bélica,-0.009742644917058424
Ciencia ficción,Historia,-0.00976419467847563
Misterio,Historia,-0.009840356943131635
Crimen,Música,-0.009885754694581595
Aventura,Animación,-0.010173035210126892
Crimen,Western,-0.010347394508731598
Animación,Película de TV,-0.011461654858598692
Familia,Ciencia ficción,-0.011554926579331963
Historia,Comedia,-0.011602126177309503
Misterio,Familia,-0.011645056836377642
Bélica,Misterio,-0.011645056836377768
Drama,Familia,-0.011689977446008358
Romance,Documental,-0.01227753677131489
Western,Fantasía,-0.012827903936519856
Misterio,Western,-0.01292495799632592
Crimen,Animación,-0.013490728239800062
Bélica,Comedia,-0.013729930686294599
Ciencia ficción,Fantasía,-0.014047298915193221
Aventura,Suspense,-0.014280872450138692
Documental,Aventura,-0.014430375006847672
Aventura,Romance,-0.014616480431060919
Misterio,Animación,-0.014930183494265297
Misterio,Película de TV,-0.015359943045616295
Documental,Película de TV,-0.016258272422373213
Película de TV,Romance,-0.01646795184405862
Música,Acción,-0.016892941405770082
Suspense,Película de TV,-0.017164227480995737
Crimen,Romance,-0.01938329724068045
Música,Ciencia ficción,-0.020035288088028357
Música,Misterio,-0.02019156650771041
Drama,Música,-0.02026945513373158
Ciencia ficción,Western,-0.020970885516363214
Documental,Misterio,-0.021178354570996285
Drama,Western,-0.021215987572573865
Documental,Drama,-0.021382507836278368
Suspense,Historia,-0.021707368334704977
Misterio,Fantasía,-0.022106871716266217
Aventura,Crimen,-0.022782114463360603
Comedia,Ciencia ficción,-0.02365048321839736
Fantasía,Documental,-0.023723958470283385
Western,Comedia,-0.024918272097453145
Película de TV,Crimen,-0.025667927765372956
Familia,Suspense,-0.025688452104602057
Drama,Animación,-0.027660984843966497
Crimen,Acción,-0.028287484864760987
Romance,Ciencia ficción,-0.030387571285371052
Western,Suspense,-0.03062563750089716
Drama,Aventura,-0.031639496987363
Acción,Documental,-0.03270076477253146
Acción,Romance,-0.03312249946045214
Suspense,Música,-0.03338311111335797
Misterio,Aventura,-0.03519427036682843
Fantasía,Crimen,-0.03745446235025318
Suspense,Romance,-0.038516887929585776
Ciencia ficción,Documental,-0.03878360950762151
Romance,Misterio,-0.039590213136528385
Ciencia ficción,Misterio,-0.04270013299286051
Comedia,Documental,-0.046083916383893496
Ciencia ficción,Crimen,-0.049614405139130686
Ciencia ficción,Drama,-0.05272423368712955
Película de TV,Comedia,-0.052864288362354295
Comedia,Crimen,-0.054870354978025414
Ciencia ficción,Suspense,-0.05686126930931612
Animación,Suspense,-0.06078436743032275
Drama,Acción,-0.06315962530288313
Suspense,Documental,-0.07168350004254018
Fantasía,Suspense,-0.08427604820339792
Acción,Misterio,-0.08760463196252959
Comedia,Drama,-0.0946471503468444
Comedia,Misterio,-0.12125667374014247
Comedia,Suspense,-0.23367762462090938
Música,Terror,
