,id,title,quantile,vote_average,duration,popularity,revenues,val_count,is_terror_comedia,Crimen,Animación,Fantasía
0,1011679,Shark Side of the Moon,0,5.3,88,456.059,0,3,1,0,0,0
1,884184,Consecration,1,6.6,90,451.66,0,1068,1,0,0,0
2,988165,HP La casa de la bruja de Lovecraft,3,5.8,82,406.61,0,2571,0,0,0,0
3,829410,Sick,1,6.3,83,358.328,0,1068,1,0,0,0
4,676547,Reza por el diablo,1,7.1,93,357.88,37655699,1068,1,0,0,0
5,934433,Scream VI,0,7.4,123,378.88,161000000,254,1,0,0,0
6,663712,Terrifier 2,3,6.9,138,297.682,12400000,2571,0,0,0,0
7,772515,Huesera,0,5.8,93,284.067,0,36,0,0,0,0
8,988233,Hex,0,6.1,88,265.046,0,62,1,0,0,0
9,646385,Scream V,0,6.7,114,262.835,140041405,254,1,0,0,0
10,836225,El Exorcismo De Dios,3,7.2,98,221.416,0,2571,0,0,0,0
11,882598,Smile,0,6.8,115,230.019,216135048,254,1,0,0,0
12,782936,Efecto nocebo,0,6.3,96,201.589,0,45,1,0,0,0
13,575322,Géminis: El planeta oscuro,0,5.8,98,204.74,0,110,0,0,0,0
14,931954,Venus,0,5.5,101,194.673,0,153,1,0,0,0
15,717728,Jeepers Creepers: El renacer,0,5.8,88,186.944,5954938,112,1,0,0,0
16,955991,The Offering,3,5.7,93,183.582,0,2571,0,0,0,0
17,109428,Posesión infernal (Evil Dead),3,6.5,96,207.54,97542952,2571,0,0,0,0
18,826753,Candy Land,1,6.5,93,164.886,0,1068,1,0,0,0
19,960258,Mar de sangre,0,5.9,87,161.453,0,2,1,0,0,0
20,943221,Mal de ojo,3,6.8,100,154.289,0,2571,0,0,0,0
21,760204,La guarida,0,5.8,93,170.699,0,55,0,0,0,0
22,848058,Cerdita,0,6.6,100,148.357,380512,33,1,0,0,0
23,880841,Abandoned,0,6.3,102,149.844,0,254,1,0,0,0
24,1073413,Fenómenas,0,5.9,96,181.968,0,36,1,0,0,0
25,888257,El Misterio de Ozark,0,6.3,100,114.286,0,2,0,0,0,0
26,760161,La huérfana: Primer asesinato,1,6.8,99,137.709,9572765,1068,1,0,0,0
27,788752,Lobo vikingo,0,5.9,97,140.59,0,112,1,0,0,0
28,756999,Black Phone,1,7.8,103,130.698,161440742,1068,1,0,0,0
29,675054,MexZombies,0,7.1,93,136.656,0,17,0,0,0,0
30,423108,Expediente Warren: Obligado por el demonio,0,7.5,111,127.444,206431050,254,1,0,0,0
31,746524,Blood,0,5.8,108,109.839,0,307,1,0,0,0
32,649609,Renfield,0,6.8,93,140.514,10000000,11,0,0,0,1
33,520763,Un lugar tranquilo 2,0,7.5,97,114.644,297400000,16,1,0,0,0
34,801071,The Jack in the Box: El despertar,3,6.4,89,119.157,195189,2571,0,0,0,0
35,760104,X,0,6.8,106,103.808,14779858,254,1,0,0,0
36,138843,Expediente Warren: The Conjuring,1,7.5,112,114.268,320406242,1068,1,0,0,0
37,830788,La invitación,1,6.4,105,111.038,33628000,1068,1,0,0,0
38,593643,El menú,0,7.2,107,106.354,79628200,26,1,0,0,0
39,338947,Hellraiser,0,6.4,121,112.792,0,162,0,0,0,0
40,899579,Hay algo mal con los niños,0,6.0,92,98.923,0,254,1,0,0,0
41,360784,Hidden: Terror en Kingsville,0,6.9,83,122.404,0,307,1,0,0,0
42,982620,Maneater,0,4.9,86,102.278,0,45,1,0,0,0
43,928773,Susurro (Whisper),1,6.4,76,100.316,0,1068,1,0,0,0
44,762504,¡Nop!,0,6.9,130,104.562,170823080,16,0,0,0,0
45,375366,Melanie. The Girl With All the Gifts,0,6.5,110,85.386,0,3,1,0,0,0
46,811656,Monstrous,0,6.0,89,120.578,138450,254,1,0,0,0
47,460458,Resident Evil: Bienvenidos a Raccoon City,0,6.1,107,116.611,38600612,21,0,0,0,0
48,1024530,Grimcutty: Asesino implacable,3,5.3,101,102.337,0,2571,0,0,0,0
49,807356,El extraño,0,6.6,96,83.361,2667033,45,1,0,0,0
50,420634,Terrifier,1,6.6,84,87.153,0,1068,1,0,0,0
51,929562,Atrapados en el bosque,1,6.0,83,86.208,0,1068,1,0,0,0
52,397243,La autopsia de Jane Doe,0,6.7,86,76.883,5972942,162,0,0,0,0
53,259693,Expediente Warren: El caso Enfield,1,7.3,134,89.857,321834351,1068,1,0,0,0
54,838484,Elige o muere,0,5.4,85,92.541,0,27,1,0,0,0
55,928015,Drácula Aun Esta Vivo,0,5.4,86,80.628,0,15,1,0,0,1
56,899294,Frank y Penelope Hasta que la Muerte nos Separe,0,7.7,112,85.581,0,9,1,1,0,0
57,474350,It: Capítulo 2,0,6.9,169,84.639,473122525,63,0,0,0,1
58,846778,Margaux,0,6.8,105,80.971,0,378,0,0,0,0
59,616820,Halloween: El final,1,6.3,111,84.234,104186860,1068,1,0,0,0
60,985335,La chica de la ventana,0,6.5,84,82.313,0,307,1,0,0,0
61,72190,Guerra Mundial Z,0,6.8,116,78.947,531865000,3,1,0,0,0
62,632357,Ruega por nosotros,0,6.7,99,74.202,30833138,162,0,0,0,0
63,439079,La Monja,0,5.8,96,77.38,365582797,254,1,0,0,0
64,477462,Gemelo siniestro,0,6.0,109,72.38,492000,162,0,0,0,0
65,602223,La purga infinita,0,7.1,103,68.06,76994245,41,1,0,0,0
66,157544,Exorcismo en el Vaticano,0,5.3,91,70.001,1784763,307,1,0,0,0
67,561,Constantine,0,7.0,121,83.684,230884728,6,0,0,0,1
68,893370,Virus: 32,3,6.9,90,74.768,0,2571,0,0,0,0
69,482373,No respires 2,0,7.2,98,65.874,53785551,307,1,0,0,0
70,447332,Un lugar tranquilo,0,7.4,91,70.491,341000000,5,0,0,0,0
71,1063422,Los extraños,0,5.5,100,72.144,0,3,1,0,0,0
72,23823,Camino sangriento 3,1,5.6,91,62.801,0,1068,1,0,0,0
73,381288,Múltiple,1,7.3,117,66.469,278454358,1068,1,0,0,0
74,913290,Barbarian,0,6.9,103,54.519,45352337,254,1,0,0,0
75,803114,Pánico a la deriva,0,5.0,89,79.573,130493,307,1,0,0,0
76,521029,Annabelle: Vuelve a casa,0,6.4,106,67.863,231252591,254,1,0,0,0
77,13186,Km. 666 II: Camino sangriento,1,6.0,96,63.724,0,1068,1,0,0,0
78,480414,La Llorona,0,5.7,93,63.917,122033739,254,1,0,0,0
79,22894,Legión,0,5.8,100,56.253,67918658,5,0,0,0,1
80,41446,Scream 4,0,6.4,111,68.791,97231420,162,0,0,0,0
81,125509,Camino sangriento 5: Linaje caníbal,1,5.4,91,59.063,0,1068,1,0,0,0
82,630586,Wrong Turn. Sendero al infierno,1,6.0,110,65.523,3777969,1068,1,0,0,0
83,72331,Abraham Lincoln: cazador de vampiros,0,5.7,105,67.795,116471580,12,0,0,0,1
84,969160,Deinfluencer,1,4.5,120,63.399,0,1068,1,0,0,0
85,396422,Annabelle: Creation,0,6.6,110,56.167,306515884,254,1,0,0,0
86,345940,Megalodón,0,6.2,113,70.698,530517320,12,0,0,0,0
87,723072,Ten cuidado a quién llamas,0,6.5,57,52.337,26745,112,1,0,0,0
88,522444,Abismo,0,5.2,98,62.07,1117982,5,0,0,0,0
89,632727,La matanza de Texas,1,5.2,83,54.825,0,1068,1,0,0,0
90,280002,El día del juicio final,0,6.0,88,60.446,1169603,307,1,0,0,0
91,968051,La Monja 2,0,0.0,0,63.535,0,162,0,0,0,0
92,126889,Alien: Covenant,0,6.1,122,63.543,240891763,8,0,0,0,0
