,0
0,103
1,84
2,80
3,85
4,100
5,111
6,96
7,102
8,86
9,88
10,90
11,82
12,83
13,93
14,123
15,138
16,93
17,88
18,114
19,98
20,115
21,96
22,98
23,93
24,101
25,88
26,93
27,96
28,93
29,87
30,100
31,93
32,75
33,100
34,102
35,85
36,96
37,100
38,99
39,97
40,90
41,103
42,93
43,111
44,108
45,93
46,97
47,122
48,89
49,106
50,112
51,105
52,107
53,121
54,92
55,83
56,85
57,86
58,76
59,130
60,110
61,89
62,107
63,101
64,96
65,84
66,83
67,86
68,134
69,85
70,86
71,112
72,112
73,169
74,105
75,111
76,113
77,84
78,116
79,99
80,122
81,93
82,96
83,109
84,118
85,106
86,103
87,91
88,121
89,84
90,90
91,98
92,91
93,100
94,91
95,117
96,108
97,103
98,89
99,109
100,106
101,96
102,93
103,100
104,111
105,91
106,27
107,110
108,105
109,120
110,110
111,113
112,57
113,98
114,83
115,88
116,0
117,122
118,108
119,100
120,87
121,118
122,104
123,0
124,55
125,83
126,87
127,97
128,88
129,84
130,93
131,98
132,71
133,87
134,99
135,93
136,105
137,104
138,117
139,86
140,103
141,85
142,106
143,148
144,84
145,104
146,92
147,105
148,109
149,120
150,101
151,122
152,121
153,93
154,135
155,90
156,99
157,123
158,116
159,89
160,98
161,97
162,93
163,86
164,97
165,96
166,98
167,88
168,144
169,82
170,92
171,106
172,89
173,90
174,105
175,99
176,99
177,100
178,107
179,90
180,103
181,89
182,99
183,97
184,128
185,103
186,98
187,20
188,88
189,78
190,89
191,97
192,91
193,115
194,124
195,92
196,94
197,91
198,91
199,87
200,88
201,102
202,107
203,121
204,86
205,93
206,101
207,115
208,98
209,107
210,113
211,94
212,0
213,117
214,87
215,97
216,85
217,91
218,108
219,72
220,91
221,99
222,131
223,144
224,91
225,100
226,98
227,110
228,91
229,147
230,0
231,88
232,95
233,94
234,101
235,92
236,93
237,93
238,89
239,132
240,92
241,95
242,91
243,103
244,81
245,94
246,86
247,100
248,93
249,104
250,88
251,87
252,107
253,89
254,99
255,91
256,108
257,109
258,123
259,89
260,87
261,100
262,100
263,83
264,88
265,93
266,91
267,85
268,94
269,98
270,95
271,97
272,95
273,97
274,95
275,101
276,96
277,73
278,91
279,92
280,91
281,89
282,116
283,93
284,110
285,111
286,91
287,101
288,114
289,93
290,104
291,97
292,113
293,4
294,110
295,115
296,131
297,89
298,84
299,99
300,96
301,90
302,91
303,91
304,97
305,87
306,97
307,106
308,91
309,90
310,94
311,99
312,128
313,90
314,104
315,84
316,95
317,91
318,88
319,93
320,80
321,97
322,91
323,92
324,152
325,104
326,99
327,94
328,87
329,83
330,106
331,126
332,97
333,14
334,96
335,78
336,85
337,94
338,84
339,88
340,121
341,90
342,91
343,103
344,90
345,103
346,125
347,99
348,101
349,77
350,45
351,114
352,96
353,97
354,110
355,105
356,108
357,91
358,94
359,88
360,93
361,101
362,90
363,103
364,101
365,93
366,100
367,81
368,110
369,90
370,103
371,83
372,87
373,90
374,85
375,127
376,93
377,87
378,97
379,108
380,91
381,95
382,82
383,120
384,84
385,89
386,93
387,95
388,120
389,88
390,94
391,104
392,108
393,83
394,87
395,117
396,108
397,96
398,91
399,90
400,91
401,87
402,85
403,100
404,103
405,81
406,87
407,82
408,116
409,81
410,109
411,73
412,93
413,108
414,94
415,90
416,118
417,91
418,110
