,id,title,release_date,key,characters,genre
0,539,Psicosis,1960-06-22,Psycho,Norman Bates,"[27, 18, 53]"
1,11252,Psycho (Psicosis),1998-12-04,Psycho,Norman Bates,"[9648, 53, 27]"
2,772321,Psycho,2019-02-28,Psycho,[],[]
3,510242,Psycho-Pass: Sinners of the System - Caso.1 Crimen y Castigo,2019-01-25,Psycho,Ginoza Nobuchika,"[16, 878, 80]"
4,559562,Psycho-Pass: Sinners of the System - Caso.2 Primer Guardián,2019-02-15,Psycho,Ginoza Nobuchika,"[16, 878, 80]"
5,670428,Psycho Goreman,2020-10-29,Psycho,Mimi,"[878, 35, 27]"
6,452015,Psychokinesis,2018-01-31,Psycho,Shin Suk-Hun,"[14, 28]"
7,10726,American Psycho 2: El Legado De Patrick Bateman,2002-04-22,Psycho,Rachael Newman,"[27, 53]"
8,296917,Psycho-Pass: La película,2015-01-09,Psycho,Akane Tsunemori (voice),"[16, 878, 28]"
9,559566,Psycho-Pass: Sinners of the System - Caso.3 Mas Allá del Bien y del Mal,2019-03-18,Psycho,Kougami Shin`ya,"[16, 878, 80]"
10,655431,Psycho-Pass 3: First Inspector,2020-03-27,Psycho,Hinakawa Shou (voice),"[878, 28, 80, 16]"
11,1359,American Psycho,2000-04-13,Psycho,Patrick Bateman,"[53, 18, 80]"
12,527014,Alien Psychosis,2018-02-24,Psycho,Ryan O'Neil,[27]
13,834734,Sicosexual,2022-05-12,Psycho,Marcela,[53]
14,29693,Psycho Cop Returns,1993-11-08,Psycho,Officer Joe Vickers,[27]
15,69326,Gothic & Lolita Psycho,2010-09-04,Psycho,Yuki,"[27, 28]"
16,393562,Psycho Raman,2016-06-24,Psycho,Raman,"[53, 80]"
17,29692,Psycho Cop,1989-11-28,Psycho,Officer Joe Vickers,[27]
18,511755,Psycho Intern,2021-09-12,Psycho,Maya,"[10770, 9648, 53, 27]"
19,414131,Cobra the Animation: The Psychogun,2008-08-29,Psycho,Cobra,"[28, 12, 16, 878]"
20,229031,Psychophony,2012-04-02,Psycho,Ainara,"[9648, 53]"
21,29751,Batman Unmasked,2008-07-15,Psycho,Narrator,[99]
22,10576,Psicosis II: El regreso de Norman,1983-06-03,Psycho,Norman Bates,"[27, 9648, 53]"
23,1012652,Psycho-Pass: Providence,2023-05-12,Psycho,Akane Tsunemori (voice),[16]
24,40377,Psicosis IV: El comienzo,1990-11-10,Psycho,Norman Bates,"[27, 9648, 53]"
25,48350,Psicomania,1973-01-05,Psycho,Tom Latham,[27]
26,86838,Siete psicópatas,2012-10-12,Psycho,Marty Faranan,"[35, 80]"
