,0,1,2,3,4,5,6,7
0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}","{'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}","{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",,,,
1,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
2,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
3,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
4,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
5,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
6,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
7,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
8,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
9,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
10,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
11,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
12,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
13,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
14,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
15,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
16,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",,,,,,,
17,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
18,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
19,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,
20,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
21,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","{'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}",,,,,,
22,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}",,,,,,
23,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
24,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",,,,,,,
25,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
26,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
27,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
28,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
29,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
30,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",,,,,,,
31,"{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}","{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,
32,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
33,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",,,,,,,
34,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
35,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
36,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",,,,,,,
37,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
38,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","{'english_name': 'Estonian', 'iso_639_1': 'et', 'name': 'Eesti'}",,,,,,
39,"{'english_name': 'Norwegian', 'iso_639_1': 'no', 'name': 'Norsk'}","{'english_name': 'Swedish', 'iso_639_1': 'sv', 'name': 'svenska'}",,,,,,
40,"{'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}","{'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}",,,,,,
41,"{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}","{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,
42,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",,,,,,,
43,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}",,,,,,
44,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
45,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
46,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
47,"{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}",,,,,,,
48,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
49,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
50,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
51,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
52,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,
53,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
54,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
55,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
56,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
57,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
58,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
59,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
60,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,
61,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
62,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
63,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
64,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
65,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
66,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
67,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
68,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
69,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
70,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
71,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
72,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
73,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
74,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
75,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
76,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
77,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",,,,,,,
