,id,poster_path,adult,overview,release_date,genre_ids,original_title,original_language,title,backdrop_path,popularity,vote_count,video,vote_average,media_type,poster_path_drop,adult_drop,overview_drop,release_date_drop,genre_ids_drop,original_title_drop,original_language_drop,title_drop,backdrop_path_drop,popularity_drop,vote_count_drop,video_drop,vote_average_drop,media_type_drop
0,536554,/ogSpQMynabVu91Bi7AuUA8tshfb.jpg,False,Un ingeniero en robótica de una empresa de juguetes construye una muñeca realista que comienza a cobrar vida propia.,2023-01-06,"[878, 27, 35]",M3GAN,en,M3GAN,/dlrWhn0G3AtxYUx2D9P2bmzcsvF.jpg,590.481,2370,False,7.4,movie,/ogSpQMynabVu91Bi7AuUA8tshfb.jpg,False,Un ingeniero en robótica de una empresa de juguetes construye una muñeca realista que comienza a cobrar vida propia.,2023-01-06,"[878, 27, 35]",M3GAN,en,M3GAN,/dlrWhn0G3AtxYUx2D9P2bmzcsvF.jpg,590.481,2370,False,7.4,movie
1,1073413,/grA55EHmkQ4rccvbphl1WQWqdr7.jpg,False,"Madrid, España, 1998. Los muchos recursos y habilidades de Gloria, Paz y Sagrario, tres mujeres de mediana edad que investigan sucesos paranormales, son puestos a prueba cuando su líder, el padre Pilón, tiene un desagradable encuentro.",2023-04-14,"[35, 27, 53]",Fenómenas,es,Fenómenas,/2WjPxVZoF3S0b5ZkOMhSsKh5siM.jpg,181.968,23,False,5.9,movie,/grA55EHmkQ4rccvbphl1WQWqdr7.jpg,False,"Madrid, España, 1998. Los muchos recursos y habilidades de Gloria, Paz y Sagrario, tres mujeres de mediana edad que investigan sucesos paranormales, son puestos a prueba cuando su líder, el padre Pilón, tiene un desagradable encuentro.",2023-04-14,"[35, 27, 53]",Fenómenas,es,Fenómenas,/2WjPxVZoF3S0b5ZkOMhSsKh5siM.jpg,181.968,23,False,5.9,movie
2,675054,/nEySe5f19wlKt6GDMhFmKJH18pU.jpg,False,"Dos adolescentes un poco inadaptados socialmente, uno cinéfilo de películas clásicas de antaño y el otro un aspirante a ser experto en parkour, deben enfrentarse a un inesperado reto: prevenir un apocalipsis zombi, al mismo tiempo que ponen a prueba su amistad y buscan su primer amor.",2022-10-26,"[27, 28, 35]",MexZombies,es,MexZombies,/b2FxWOxe9K7ZZ1uaPOze2RJ1ajq.jpg,136.656,136,False,7.1,movie,/nEySe5f19wlKt6GDMhFmKJH18pU.jpg,False,"Dos adolescentes un poco inadaptados socialmente, uno cinéfilo de películas clásicas de antaño y el otro un aspirante a ser experto en parkour, deben enfrentarse a un inesperado reto: prevenir un apocalipsis zombi, al mismo tiempo que ponen a prueba su amistad y buscan su primer amor.",2022-10-26,"[27, 28, 35]",MexZombies,es,MexZombies,/b2FxWOxe9K7ZZ1uaPOze2RJ1ajq.jpg,136.656,136,False,7.1,movie
3,649609,/uGw4zPyiBAx9B1j9pKYWSvFiLug.jpg,False,"En este moderno y monstruoso relato sobre el fiel ayudante de Drácula, Renfield se ve obligado a procurarle víctimas a su amo y hacer todo aquello que este le ordene, por inmoral que sea. Pero ahora, tras siglos de servidumbre, Renfield está listo para descubrir si hay vida lejos de la alargada sombra del Príncipe de las Tinieblas. ¿El problema? Que no sabe cómo romper esa relación de dependencia.",2023-04-14,"[35, 27, 14]",Renfield,en,Renfield,/kfKW0HBObLAd4Lj27XX5QoLWmGe.jpg,140.514,43,False,6.8,movie,/uGw4zPyiBAx9B1j9pKYWSvFiLug.jpg,False,"En este moderno y monstruoso relato sobre el fiel ayudante de Drácula, Renfield se ve obligado a procurarle víctimas a su amo y hacer todo aquello que este le ordene, por inmoral que sea. Pero ahora, tras siglos de servidumbre, Renfield está listo para descubrir si hay vida lejos de la alargada sombra del Príncipe de las Tinieblas. ¿El problema? Que no sabe cómo romper esa relación de dependencia.",2023-04-14,"[35, 27, 14]",Renfield,en,Renfield,/kfKW0HBObLAd4Lj27XX5QoLWmGe.jpg,140.514,43,False,6.8,movie
4,593643,/eNcfCScUUyHQyjP84P25a8ColWp.jpg,False,"Una joven pareja viaja a uno de los destinos más exclusivos del mundo para cenar en un restaurante que ofrece una experiencia culinaria única. Sin embargo, el chef ha preparado un ingrediente secreto que tendrá un resultado sorprendente en los dos enamorados.",2022-11-18,"[27, 53, 35]",The Menu,en,El menú,/mSyQoValhBsJdq3JNGXJww2Q5yL.jpg,106.354,2954,False,7.2,movie,/eNcfCScUUyHQyjP84P25a8ColWp.jpg,False,"Una joven pareja viaja a uno de los destinos más exclusivos del mundo para cenar en un restaurante que ofrece una experiencia culinaria única. Sin embargo, el chef ha preparado un ingrediente secreto que tendrá un resultado sorprendente en los dos enamorados.",2022-11-18,"[27, 53, 35]",The Menu,en,El menú,/mSyQoValhBsJdq3JNGXJww2Q5yL.jpg,106.354,2954,False,7.2,movie
5,755566,/kKcsME7Bjlo9EvKp51MkgQ8tgQD.jpg,False,Tiene una semana para reunir el dinero necesario para pagar las clases y el dentista de su hija. Pero ganarse la vida como cazador de vampiros cada vez es más arriesgado.,2022-08-10,"[28, 14, 27, 35]",Day Shift,en,Turno de día,/5L6RPHHUFlsliTqKRmUxFnIkXpR.jpg,76.588,1536,False,6.9,movie,/kKcsME7Bjlo9EvKp51MkgQ8tgQD.jpg,False,Tiene una semana para reunir el dinero necesario para pagar las clases y el dentista de su hija. Pero ganarse la vida como cazador de vampiros cada vez es más arriesgado.,2022-08-10,"[28, 14, 27, 35]",Day Shift,en,Turno de día,/5L6RPHHUFlsliTqKRmUxFnIkXpR.jpg,76.588,1536,False,6.9,movie
6,639721,/qetczjArlkPb4EnB6ygyvgbYY2l.jpg,False,"Con la esperanza de acercarse como familia, Gómez, Morticia y el resto del clan Addams se embarcan en un aventurero viaje por carretera en una horrenda y gigantesca caravana.",2021-10-01,"[16, 12, 35, 10751, 14, 27]",The Addams Family 2,en,La familia Addams 2: La gran escapada,/9e6wp707XMouPG939o2fHunXXJR.jpg,85.203,1084,False,7.1,movie,/qetczjArlkPb4EnB6ygyvgbYY2l.jpg,False,"Con la esperanza de acercarse como familia, Gómez, Morticia y el resto del clan Addams se embarcan en un aventurero viaje por carretera en una horrenda y gigantesca caravana.",2021-10-01,"[16, 12, 35, 10751, 14, 27]",The Addams Family 2,en,La familia Addams 2: La gran escapada,/9e6wp707XMouPG939o2fHunXXJR.jpg,85.203,1084,False,7.1,movie
7,531219,/PxbO8UzZ17dMcqs0YwAnKuwfHA.jpg,False,"Un pequeño huérfano a finales de 1967, se va a vivir con su querida abuela a Demopolis, un pueblo de Alabama. El niño y su abuela tienen extraños encuentros con algunas brujas por lo que deciden mudarse a un hotel de lujo en la costa. Por desgracia, llegan exactamente al mismo tiempo que la Gran Bruja que ha reunido a sus compinches de todo el planeta -que van de incógnito- para llevar a cabo sus horribles planes.",2020-10-22,"[12, 14, 35, 10751, 27]",Roald Dahl's The Witches,en,Las brujas (de Roald Dahl),/8rIoyM6zYXJNjzGseT3MRusMPWl.jpg,73.473,2479,False,6.4,movie,/PxbO8UzZ17dMcqs0YwAnKuwfHA.jpg,False,"Un pequeño huérfano a finales de 1967, se va a vivir con su querida abuela a Demopolis, un pueblo de Alabama. El niño y su abuela tienen extraños encuentros con algunas brujas por lo que deciden mudarse a un hotel de lujo en la costa. Por desgracia, llegan exactamente al mismo tiempo que la Gran Bruja que ha reunido a sus compinches de todo el planeta -que van de incógnito- para llevar a cabo sus horribles planes.",2020-10-22,"[12, 14, 35, 10751, 27]",Roald Dahl's The Witches,en,Las brujas (de Roald Dahl),/8rIoyM6zYXJNjzGseT3MRusMPWl.jpg,73.473,2479,False,6.4,movie
8,765,/udBGSiqIEyFITsj1j7pS2nhVVz7.jpg,False,"El bueno de Ash se dispone a pasar un fin de semana en el bosque con su novia. Pero todo se va al traste cuando repoducen una cinta en la que un profesor había grabado varios pasajes del Necronomicom, el Libro de los Muertos. El hechizo convoca a una fuerza demoniaca que convierte a la compañera de Ash en un monstruo ávido de carne. Ahora él y varios compañeros se disponen a pasar una noche en una cabaña en medio del bosque, con un demonio en casa.",1987-03-13,"[27, 35, 14]",Evil Dead II,en,Terroríficamente muertos,/jyRk8ykqLOXaVadZ0aWRDd89gMP.jpg,70.148,2592,False,7.6,movie,/udBGSiqIEyFITsj1j7pS2nhVVz7.jpg,False,"El bueno de Ash se dispone a pasar un fin de semana en el bosque con su novia. Pero todo se va al traste cuando repoducen una cinta en la que un profesor había grabado varios pasajes del Necronomicom, el Libro de los Muertos. El hechizo convoca a una fuerza demoniaca que convierte a la compañera de Ash en un monstruo ávido de carne. Ahora él y varios compañeros se disponen a pasar una noche en una cabaña en medio del bosque, con un demonio en casa.",1987-03-13,"[27, 35, 14]",Evil Dead II,en,Terroríficamente muertos,/jyRk8ykqLOXaVadZ0aWRDd89gMP.jpg,70.148,2592,False,7.6,movie
9,75624,/3IdPC9SO1lyrxlMu3lCnH6aVbKh.jpg,False,"Después de ser capturado por el intento de asesinar al líder de Kumogakure, el Raikage, y el asesinato de varios Jonin de Kirigakure e Iwagakure, Naruto es encarcelado en una instalación de contención penal también conocida como la prisión de la sangre. El capitán del castillo, Mui, usa el jutsu de prisión máxima para robar el poder de los prisioneros. La batalla para demostrar su inocencia y descubrir la verdad ha comenzado para Naruto y sus amigos.",2019-09-04,"[53, 16, 28, 35, 27, 9648]",劇場版 NARUTO -ナルト- ブラッド・プリズン,ja,Naruto Shippuden 5: Prisión de Sangre,/Abv3ZtGV2NXxPimArb3LDLg2bDH.jpg,74.5,492,False,7.3,movie,/3IdPC9SO1lyrxlMu3lCnH6aVbKh.jpg,False,"Después de ser capturado por el intento de asesinar al líder de Kumogakure, el Raikage, y el asesinato de varios Jonin de Kirigakure e Iwagakure, Naruto es encarcelado en una instalación de contención penal también conocida como la prisión de la sangre. El capitán del castillo, Mui, usa el jutsu de prisión máxima para robar el poder de los prisioneros. La batalla para demostrar su inocencia y descubrir la verdad ha comenzado para Naruto y sus amigos.",2019-09-04,"[53, 16, 28, 35, 27, 9648]",劇場版 NARUTO -ナルト- ブラッド・プリズン,ja,Naruto Shippuden 5: Prisión de Sangre,/Abv3ZtGV2NXxPimArb3LDLg2bDH.jpg,74.5,492,False,7.3,movie
