iter	Accuracy	Logloss
0	0.8826781327	0.6576667438
1	0.923013923	0.6297226863
2	0.894963145	0.601281753
3	0.9105241605	0.5790501294
4	0.9197379197	0.5579235923
5	0.9107289107	0.5363998113
6	0.9076576577	0.5187355657
7	0.8839066339	0.5013206358
8	0.8847256347	0.485314175
9	0.9213759214	0.4663611234
10	0.9236281736	0.4499151786
11	0.9232186732	0.433593708
12	0.9250614251	0.4217699505
13	0.9242424242	0.4076269516
14	0.9236281736	0.3940469087
15	0.9236281736	0.3833675291
16	0.9244471744	0.3713397538
17	0.9254709255	0.3615938453
18	0.9254709255	0.3533475771
19	0.9266994267	0.3460655609
20	0.9252661753	0.3369942486
21	0.9238329238	0.3297492961
22	0.9254709255	0.3221657414
23	0.924037674	0.3145071732
24	0.9234234234	0.3086684766
25	0.9234234234	0.3013968598
26	0.9248566749	0.2957095911
27	0.9269041769	0.2884868282
28	0.9264946765	0.2834426626
29	0.9266994267	0.2770703765
30	0.9279279279	0.2708971997
31	0.9273136773	0.2665757424
32	0.9275184275	0.2625166871
33	0.9277231777	0.2584308767
34	0.9266994267	0.2547174645
35	0.9271089271	0.2524041297
36	0.9273136773	0.2491457261
37	0.9273136773	0.2453892945
38	0.9275184275	0.2436220141
39	0.9271089271	0.2407927775
40	0.9271089271	0.2362695224
41	0.9273136773	0.2343153959
42	0.9269041769	0.2307500946
43	0.9271089271	0.2283961086
44	0.9266994267	0.2248428744
45	0.9266994267	0.222683035
46	0.9266994267	0.2196060603
47	0.9262899263	0.2175994362
48	0.9262899263	0.2164205467
49	0.9264946765	0.2143357521
50	0.9264946765	0.21284565
51	0.9271089271	0.2115643672
52	0.9271089271	0.2094242264
53	0.9273136773	0.2066084366
54	0.9273136773	0.2053710022
55	0.9273136773	0.2027458315
56	0.9277231777	0.2011858451
57	0.9269041769	0.2002913202
58	0.9277231777	0.1988484012
59	0.9277231777	0.1973819238
60	0.9279279279	0.1959518917
61	0.9279279279	0.1935799824
62	0.9277231777	0.1929021777
63	0.9277231777	0.1924703848
64	0.9281326781	0.1902983467
65	0.9287469287	0.1887589145
66	0.9285421785	0.1877802833
67	0.9287469287	0.1869729303
68	0.9287469287	0.1865329038
69	0.9291564292	0.1849055383
70	0.9285421785	0.1841736795
71	0.9281326781	0.1835027454
72	0.9283374283	0.1830788293
73	0.928951679	0.1822272964
74	0.92997543	0.1808507351
75	0.9293611794	0.1794130224
76	0.92997543	0.1786626616
77	0.92997543	0.1772668314
78	0.9305896806	0.1768997178
79	0.9303849304	0.1763665661
80	0.9312039312	0.1760795673
81	0.9307944308	0.1756780216
82	0.9348894349	0.1742399666
83	0.9371416871	0.1725694461
84	0.9369369369	0.171418248
85	0.9369369369	0.1711412145
86	0.9369369369	0.1708351494
87	0.9369369369	0.1704545725
88	0.9369369369	0.1696563253
89	0.9375511876	0.1692743285
90	0.9375511876	0.1690692261
91	0.9375511876	0.1685191997
92	0.9377559378	0.1683061083
93	0.9404176904	0.1669273626
94	0.9404176904	0.1666996859
95	0.9402129402	0.1658100071
96	0.9404176904	0.1654193889
97	0.941031941	0.1652560129
98	0.9408271908	0.1649101977
99	0.94000819	0.164600705
