iter	Passed	Remaining
0	3	306
1	6	294
2	8	269
3	11	271
4	14	270
5	17	269
6	19	254
7	21	244
8	23	240
9	25	233
10	32	260
11	34	251
12	36	243
13	38	234
14	40	229
15	42	224
16	44	219
17	46	212
18	48	207
19	50	201
20	52	197
21	54	194
22	56	190
23	58	186
24	60	181
25	62	177
26	64	174
27	66	170
28	68	166
29	70	164
30	72	161
31	74	158
32	76	155
33	78	152
34	80	149
35	82	146
36	84	143
37	87	142
38	88	138
39	90	136
40	92	133
41	94	130
42	96	127
43	98	124
44	100	122
45	102	120
46	104	118
47	106	115
48	108	113
49	110	110
50	112	108
51	114	105
52	116	103
53	118	101
54	120	98
55	122	96
56	124	93
57	126	91
58	127	88
59	129	86
60	131	83
61	133	81
62	135	79
63	137	77
64	140	75
65	141	73
66	143	70
67	145	68
68	147	66
69	150	64
70	152	62
71	153	59
72	155	57
73	157	55
74	159	53
75	161	50
76	163	48
77	165	46
78	168	44
79	170	42
80	172	40
81	173	38
82	175	35
83	177	33
84	179	31
85	181	29
86	184	27
87	186	25
88	187	23
89	189	21
90	191	18
91	193	16
92	195	14
93	197	12
94	200	10
95	202	8
96	204	6
97	206	4
98	208	2
99	210	0
